GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0016331	morphogenesis of embryonic epithelium	0.2604228679899333	0.2604228679899333	+1	BMP5,KDM2B,STIL,SEMA4C,PALS1,DEAF1,FGFR2
GO:1903715	regulation of aerobic respiration	0.2604228679899333	0.2604228679899333	+1	SNCA,NUPR1,SHMT2,UQCC2
GO:1902165	regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	0.2685996711213489	0.2685996711213489	+1	KDM1A,TAF9,TAF9B
GO:0016078	tRNA catabolic process	0.2685996711213489	0.2685996711213489	+1	EXOSC2,ELAC2,EXOSC8
GO:1903579	negative regulation of ATP metabolic process	0.2685996711213489	0.2685996711213489	+1	PARP1,NUPR1,GIT1
GO:2000104	negative regulation of DNA-templated DNA replication	0.2685996711213489	0.2685996711213489	+1	CDT1,BLM,FBXO5
GO:0010565	regulation of cellular ketone metabolic process	0.27465220118785144	0.27465220118785144	+1	BRCA1,FGFR4,BMP5,TYSND1,AKT2,TWIST1,PRMT3,EIF6,NCOR2,H6PD,BCKDK
GO:1903578	regulation of ATP metabolic process	0.27512674331751336	0.27512674331751336	+1	PARP1,PGAM1,MLST8,NUPR1,ENO1,EIF6,GIT1
GO:0046939	nucleotide phosphorylation	0.27512674331751336	0.27512674331751336	+1	PGAM1,MLST8,NUPR1,LDHA,ENO1,TPI1,EIF6,GIT1,ENO3
GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	0.27512674331751336	0.27512674331751336	+1	KDM1A,KMT5A,SMYD2,TWIST1,ATM
GO:0007163	establishment or maintenance of cell polarity	0.27512674331751336	0.27512674331751336	+1	PLK1,CRB1,SAPCD2,KIF2C,NDC80,MAD2L1,HSP90AB1,FERMT1,RACK1,KIF20B,CENPA,MISP,ZW10,PALS1,GPSM2,DLG3,HSP90AA1
GO:1901799	negative regulation of proteasomal protein catabolic process	0.27512674331751336	0.27512674331751336	+1	HSP90AB1,TAF9,UCHL5,USP14,RPL11,MAP1A
GO:0009070	serine family amino acid biosynthetic process	0.27512674331751336	0.27512674331751336	+1	PSAT1,SEPHS1,SHMT2
GO:1901607	alpha-amino acid biosynthetic process	0.27512674331751336	0.27512674331751336	+1	CPS1,PSAT1,CAD,AASDHPPT,SEPHS1,SHMT2,MTAP
GO:0007549	dosage compensation	0.27512674331751336	0.27512674331751336	+1	BRCA1,HNRNPU,RBM15B
GO:0046496	nicotinamide nucleotide metabolic process	0.27512674331751336	0.27512674331751336	+1	QPRT,KYNU,G6PD,NNMT,PGAM1,MLST8,H6PD,IDH2
GO:0043457	regulation of cellular respiration	0.27512674331751336	0.27512674331751336	+1	TRAP1,SNCA,NUPR1,SHMT2,UQCC2
GO:0031929	TOR signaling	0.27512674331751336	0.27512674331751336	+1	DDIT4,FAM83D,EIF4EBP1,SEH1L,DEPTOR,TNFAIP8L1,MLST8,RPS6,SESN3,CCDC88A,ATM,RPS6KA1
GO:0031998	regulation of fatty acid beta-oxidation	0.27512674331751336	0.27512674331751336	+1	TYSND1,AKT2,TWIST1
GO:0006165	nucleoside diphosphate phosphorylation	0.27512674331751336	0.27512674331751336	+1	PGAM1,MLST8,NUPR1,LDHA,ENO1,TPI1,EIF6,GIT1,ENO3
GO:0035372	protein localization to microtubule	0.27512674331751336	0.27512674331751336	+1	KIF20B,HNRNPU,MAP1A
GO:0031453	positive regulation of heterochromatin formation	0.27512674331751336	0.27512674331751336	+1	TRIM28,TPR,DNMT1
GO:0035520	monoubiquitinated protein deubiquitination	0.27512674331751336	0.27512674331751336	+1	USP1,TAF9,KAT2A,SF3B5,TRRAP
GO:0006103	2-oxoglutarate metabolic process	0.27512674331751336	0.27512674331751336	+1	DLST,GPT2,IDH2
GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	0.27512674331751336	0.27512674331751336	+1	HSPD1,MSH2,RIF1,EXOSC6,THOC1
GO:0032481	positive regulation of type I interferon production	0.27512674331751336	0.27512674331751336	+1	HSPD1,POLR3G,DHX9,PTPN11,G3BP1,HSP90AA1,IRAK1
GO:0032922	circadian regulation of gene expression	0.27512674331751336	0.27512674331751336	+1	ATF4,HNRNPU,PPP1CC,HDAC2,KMT2A,MYBBP1A,MTA1,PRMT5
GO:0001732	formation of cytoplasmic translation initiation complex	0.27512674331751336	0.27512674331751336	+1	EIF3E,EIF3D,EIF3A
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	0.27512674331751336	0.27512674331751336	+1	DDIT4,KDM1A,TAF9,TAF9B,TMEM109
GO:0031053	primary miRNA processing	0.27512674331751336	0.27512674331751336	+1	SRSF3,HNRNPA2B1,SRRT
GO:0042908	xenobiotic transport	0.27512674331751336	0.27512674331751336	+1	ABCA3,SLC29A1,SLC19A1,SLC29A4,RALBP1
GO:0030705	cytoskeleton-dependent intracellular transport	0.27512674331751336	0.27512674331751336	+1	CCDC88C,KIF4A,TUBB,TUBA1B,CCDC88A,TMEM201,CEP131,DYNC2H1,KIF5B,MAPT,MYO19,STAU1,DYNC2I2,IFT46,LRPPRC,KIF1C,MAP1A
GO:2000279	negative regulation of DNA biosynthetic process	0.27512674331751336	0.27512674331751336	+1	HNRNPA1,HNRNPC,HNRNPU,DACH1,PIF1
GO:2001242	regulation of intrinsic apoptotic signaling pathway	0.27512674331751336	0.27512674331751336	+1	RPS3,MYC,RACK1,TRAP1,KDM1A,NOC2L,RPS7,TAF9,EIF5A,NUPR1,TAF9B,ENO1,SFPQ
GO:0006636	unsaturated fatty acid biosynthetic process	0.27512674331751336	0.27512674331751336	+1	SCD,FADS1,EDN2,PTGES2,PTGES3
GO:0019362	pyridine nucleotide metabolic process	0.27512674331751336	0.27512674331751336	+1	QPRT,KYNU,G6PD,NNMT,PGAM1,MLST8,H6PD,IDH2
GO:0010464	regulation of mesenchymal cell proliferation	0.27512674331751336	0.27512674331751336	+1	MYC,FGFR2,PHF14
GO:0090151	establishment of protein localization to mitochondrial membrane	0.27512674331751336	0.27512674331751336	+1	TIMM13,TOMM40,TIMM8B,BCS1L,HSP90AA1
GO:0120263	positive regulation of heterochromatin organization	0.27512674331751336	0.27512674331751336	+1	TRIM28,TPR,DNMT1
GO:1903608	protein localization to cytoplasmic stress granule	0.2770559234204233	0.2770559234204233	+1	DHX9,YBX1
GO:0033085	negative regulation of T cell differentiation in thymus	0.2770559234204233	0.2770559234204233	+1	CDKN2A,PTPN2
GO:0044771	meiotic cell cycle phase transition	0.2770559234204233	0.2770559234204233	+1	TTK,CDC25A
GO:0044829	positive regulation by host of viral genome replication	0.2770559234204233	0.2770559234204233	+1	NUCKS1,PPIB
GO:0031946	regulation of glucocorticoid biosynthetic process	0.2770559234204233	0.2770559234204233	+1	BMP5,H6PD
GO:0045722	positive regulation of gluconeogenesis	0.2770559234204233	0.2770559234204233	+1	NNMT,PTPN2
GO:0062033	positive regulation of mitotic sister chromatid segregation	0.2770559234204233	0.2770559234204233	+1	AURKB,CDT1
GO:0000055	ribosomal large subunit export from nucleus	0.2770559234204233	0.2770559234204233	+1	NPM1,RAN
GO:0051569	regulation of histone H3-K4 methylation	0.2770559234204233	0.2770559234204233	+1	BRCA1,KDM1A,KMT2A,WDR5
GO:1902416	positive regulation of mRNA binding	0.2770559234204233	0.2770559234204233	+1	EIF3E,EIF3D
GO:0045835	negative regulation of meiotic nuclear division	0.2770559234204233	0.2770559234204233	+1	FBXO43,FBXO5
GO:1902415	regulation of mRNA binding	0.2770559234204233	0.2770559234204233	+1	EIF3E,EIF3D
GO:0044314	protein K27-linked ubiquitination	0.2770559234204233	0.2770559234204233	+1	UBE2S,UBE2T
GO:0035519	protein K29-linked ubiquitination	0.2770559234204233	0.2770559234204233	+1	UBE2S,UBE2T
GO:2000064	regulation of cortisol biosynthetic process	0.2770559234204233	0.2770559234204233	+1	BMP5,H6PD
GO:1904354	negative regulation of telomere capping	0.2770559234204233	0.2770559234204233	+1	NBN,ATM
GO:0070365	hepatocyte differentiation	0.2770559234204233	0.2770559234204233	+1	E2F8,PCK2
GO:0061180	mammary gland epithelium development	0.2770559234204233	0.2770559234204233	+1	AKT2,DEAF1,FGFR2,ROBO1
GO:0070493	thrombin-activated receptor signaling pathway	0.2770559234204233	0.2770559234204233	+1	STMN1,SNCA
GO:0040031	snRNA modification	0.2770559234204233	0.2770559234204233	+1	DKC1,NHP2
GO:0072525	pyridine-containing compound biosynthetic process	0.2770559234204233	0.2770559234204233	+1	QPRT,KYNU,PSAT1,NNMT
GO:0031915	positive regulation of synaptic plasticity	0.2770559234204233	0.2770559234204233	+1	DBN1,CDC20
GO:0071029	nuclear ncRNA surveillance	0.2770559234204233	0.2770559234204233	+1	EXOSC2,EXOSC8
GO:0071035	nuclear polyadenylation-dependent rRNA catabolic process	0.2770559234204233	0.2770559234204233	+1	EXOSC2,EXOSC8
GO:0072091	regulation of stem cell proliferation	0.2770559234204233	0.2770559234204233	+1	HMGB2,HNRNPU,KDM1A,EPCAM
GO:0071038	nuclear polyadenylation-dependent tRNA catabolic process	0.2770559234204233	0.2770559234204233	+1	EXOSC2,EXOSC8
GO:0071046	nuclear polyadenylation-dependent ncRNA catabolic process	0.2770559234204233	0.2770559234204233	+1	EXOSC2,EXOSC8
GO:0071051	polyadenylation-dependent snoRNA 3'-end processing	0.2770559234204233	0.2770559234204233	+1	EXOSC2,EXOSC6
GO:1904262	negative regulation of TORC1 signaling	0.2770559234204233	0.2770559234204233	+1	SEH1L,DEPTOR,SESN3,ATM
GO:0006361	transcription initiation at RNA polymerase I promoter	0.2770559234204233	0.2770559234204233	+1	UBTF,POLR1E
GO:0000002	mitochondrial genome maintenance	0.2770559234204233	0.2770559234204233	+1	PARP1,LONP1,DNA2,MGME1
GO:1901993	regulation of meiotic cell cycle phase transition	0.2770559234204233	0.2770559234204233	+1	TTK,CDC25A
GO:0009138	pyrimidine nucleoside diphosphate metabolic process	0.2770559234204233	0.2770559234204233	+1	CAD,DTYMK
GO:0098937	anterograde dendritic transport	0.2770559234204233	0.2770559234204233	+1	KIF5B,STAU1
GO:0046600	negative regulation of centriole replication	0.2770559234204233	0.2770559234204233	+1	BRCA1,KAT2A
GO:0009445	putrescine metabolic process	0.2770559234204233	0.2770559234204233	+1	ODC1,AGMAT
GO:0106354	tRNA surveillance	0.2770559234204233	0.2770559234204233	+1	EXOSC2,EXOSC8
GO:0098935	dendritic transport	0.2770559234204233	0.2770559234204233	+1	KIF5B,STAU1
GO:0016445	somatic diversification of immunoglobulins	0.277459501042091	0.277459501042091	+1	HSPD1,TCF3,MSH2,RIF1,EXOSC6,THOC1
GO:0031062	positive regulation of histone methylation	0.2821587268205187	0.2821587268205187	+1	BRCA1,PHF19,KMT2A,RIF1,WDR5
GO:0014020	primary neural tube formation	0.2821587268205187	0.2821587268205187	+1	BMP5,KDM2B,STIL,SEMA4C,DEAF1
GO:0042789	mRNA transcription by RNA polymerase II	0.2821587268205187	0.2821587268205187	+1	ATF4,HNRNPD,TAF9,VDR,THRB
GO:0061351	neural precursor cell proliferation	0.2837026568717243	0.2837026568717243	+1	KIF14,KDM2B,KDM1A,SHCBP1,NAP1L1,RACGAP1,MELK,FGFR2
GO:1905269	positive regulation of chromatin organization	0.2998463451190917	0.2998463451190917	+1	TRIM28,TPR,DNMT1
GO:0042574	retinal metabolic process	0.2998463451190917	0.2998463451190917	+1	AKR1C1,RDH10,CYP1B1
GO:1900543	negative regulation of purine nucleotide metabolic process	0.2998463451190917	0.2998463451190917	+1	PARP1,NUPR1,GIT1
GO:0008090	retrograde axonal transport	0.2998463451190917	0.2998463451190917	+1	KIF5B,KIF1C,MAP1A
GO:0006244	pyrimidine nucleotide catabolic process	0.2998463451190917	0.2998463451190917	+1	DUT,UNG,DCTPP1
GO:0090043	regulation of tubulin deacetylation	0.2998463451190917	0.2998463451190917	+1	KAT2A,WDR5,MAPT
GO:0046174	polyol catabolic process	0.2998463451190917	0.2998463451190917	+1	SORD,PTEN,TPI1
GO:0000712	resolution of meiotic recombination intermediates	0.2998463451190917	0.2998463451190917	+1	TOP2A,CENPX,TOP2B
GO:0120261	regulation of heterochromatin organization	0.300808685831563	0.300808685831563	+1	TRIM28,TPR,KDM1A,DNMT1
GO:1901797	negative regulation of signal transduction by p53 class mediator	0.300808685831563	0.300808685831563	+1	KDM1A,TAF9,TAF9B,TWIST1
GO:0031445	regulation of heterochromatin formation	0.300808685831563	0.300808685831563	+1	TRIM28,TPR,KDM1A,DNMT1
GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	0.3013280251673404	0.3013280251673404	+1	CDC20,PLK1,HSP90AB1,RACK1,TAF9,UBQLN4,UCHL5,FZR1,USP5,USP14,RPL11,MAP1A
GO:1901617	organic hydroxy compound biosynthetic process	0.3013280251673404	0.3013280251673404	+1	PSAT1,DHFR,ACLY,FGFR4,BMP5,G6PD,SQLE,SC5D,SNCA,PGP,LBR,MVD,HSD17B7,FDFT1,H6PD,SLC27A5,PCK2
GO:2000736	regulation of stem cell differentiation	0.3018763741092151	0.3018763741092151	+1	HNRNPU,CHD4,HDAC2,NUDT21,RBBP4,MTA1,CHD3
GO:0007623	circadian rhythm	0.31511930333523364	0.31511930333523364	+1	TOP2A,ATF4,IMPDH2,CDK1,PARP1,HNRNPU,PPP1CC,PTEN,HNRNPD,HDAC2,KMT2A,MYBBP1A,MTA1,SFPQ,PRMT5
GO:1901215	negative regulation of neuron death	0.31612204961927753	0.31612204961927753	+1	ATF4,PPT1,KIF14,RACK1,MSH2,KDM2B,SET,SNCA,ZPR1,IL27RA,F2R
GO:0035195	miRNA-mediated gene silencing	0.32271105163251784	0.32271105163251784	+1	RAN,NEAT1,DHX9,ELAVL1,EIF6,XPO5,NCOR2
GO:0072655	establishment of protein localization to mitochondrion	0.33143765975778033	0.33143765975778033	+1	HSPD1,SREBF1,TIMM13,TOMM40,TIMM8B,SAE1,TIMM50,MAPT,TOMM34,BCS1L,HSP90AA1
GO:0009066	aspartate family amino acid metabolic process	0.332201687090564	0.332201687090564	+1	ATF4,AASDHPPT,NAT8L,MTAP,SMS
GO:0006692	prostanoid metabolic process	0.332201687090564	0.332201687090564	+1	AKR1C2,AKR1C1,EDN2,PTGES2,PTGES3
GO:0006730	one-carbon metabolic process	0.332201687090564	0.332201687090564	+1	CA9,TYMS,SHMT2,MTHFD2
GO:0001841	neural tube formation	0.332201687090564	0.332201687090564	+1	BMP5,KDM2B,STIL,SEMA4C,DEAF1
GO:0032964	collagen biosynthetic process	0.332201687090564	0.332201687090564	+1	PCOLCE,COL1A1,HDAC2,F2R
GO:2000819	regulation of nucleotide-excision repair	0.332201687090564	0.332201687090564	+1	SMARCC1,SMARCC2,SMARCB1,ACTL6A
GO:0006693	prostaglandin metabolic process	0.332201687090564	0.332201687090564	+1	AKR1C2,AKR1C1,EDN2,PTGES2,PTGES3
GO:0051156	glucose 6-phosphate metabolic process	0.332201687090564	0.332201687090564	+1	G6PD,PGAM1,MLST8,H6PD
GO:0006739	NADP metabolic process	0.332201687090564	0.332201687090564	+1	G6PD,PGAM1,MLST8,H6PD,IDH2
GO:1900369	negative regulation of post-transcriptional gene silencing by RNA	0.332983393195652	0.332983393195652	+1	NEAT1,ELAVL1,NCOR2
GO:0060965	negative regulation of miRNA-mediated gene silencing	0.332983393195652	0.332983393195652	+1	NEAT1,ELAVL1,NCOR2
GO:0002840	regulation of T cell mediated immune response to tumor cell	0.332983393195652	0.332983393195652	+1	HMGB1,HSPD1
GO:0033599	regulation of mammary gland epithelial cell proliferation	0.332983393195652	0.332983393195652	+1	DEAF1,ROBO1
GO:0002903	negative regulation of B cell apoptotic process	0.332983393195652	0.332983393195652	+1	AURKB,NOC2L
GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process	0.332983393195652	0.332983393195652	+1	CAD,UCK2
GO:0043634	polyadenylation-dependent ncRNA catabolic process	0.332983393195652	0.332983393195652	+1	EXOSC2,EXOSC8
GO:0060711	labyrinthine layer development	0.332983393195652	0.332983393195652	+1	BMP5,FGFR2
GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	0.332983393195652	0.332983393195652	+1	MYORG,PHIP
GO:0010839	negative regulation of keratinocyte proliferation	0.332983393195652	0.332983393195652	+1	FGFR2,VDR
GO:0006744	ubiquinone biosynthetic process	0.332983393195652	0.332983393195652	+1	COQ5,COQ8A,COQ2
GO:0051660	establishment of centrosome localization	0.332983393195652	0.332983393195652	+1	MAD2L1,MISP
GO:0034720	histone H3-K4 demethylation	0.332983393195652	0.332983393195652	+1	KDM1A,KDM1B
GO:0060967	negative regulation of gene silencing by RNA	0.332983393195652	0.332983393195652	+1	NEAT1,ELAVL1,NCOR2
GO:0061029	eyelid development in camera-type eye	0.332983393195652	0.332983393195652	+1	HDAC2,TWIST1
GO:1905216	positive regulation of RNA binding	0.332983393195652	0.332983393195652	+1	EIF3E,EIF3D
GO:0032026	response to magnesium ion	0.332983393195652	0.332983393195652	+1	ANK3,SNCA
GO:0043984	histone H4-K16 acetylation	0.332983393195652	0.332983393195652	+1	BRCA1,KMT2A,WDR5
GO:0040020	regulation of meiotic nuclear division	0.332983393195652	0.332983393195652	+1	FBXO43,RAD51AP1,FBXO5
GO:0007097	nuclear migration	0.332983393195652	0.332983393195652	+1	LMNB1,LMNB2,TMEM201
GO:0009120	deoxyribonucleoside metabolic process	0.332983393195652	0.332983393195652	+1	TK1,DTYMK
GO:0006576	biogenic amine metabolic process	0.332983393195652	0.332983393195652	+1	KYNU,ODC1,SNCA,SLC29A4,SRM,SMS,COMT,AGMAT
GO:1903203	regulation of oxidative stress-induced neuron death	0.332983393195652	0.332983393195652	+1	ATF4,RACK1,LANCL1
GO:0060149	negative regulation of post-transcriptional gene silencing	0.332983393195652	0.332983393195652	+1	NEAT1,ELAVL1,NCOR2
GO:0032869	cellular response to insulin stimulus	0.332983393195652	0.332983393195652	+1	PARP1,NUCKS1,TBC1D4,AKT2,SHC1,PIK3R3,HDAC9,PHIP,PTPN11,GRB14,EPRS1,PCK2,PTPN2
GO:2000601	positive regulation of Arp2/3 complex-mediated actin nucleation	0.332983393195652	0.332983393195652	+1	WASF1,BRK1
GO:0006450	regulation of translational fidelity	0.332983393195652	0.332983393195652	+1	RPS9,RPS5
GO:0070341	fat cell proliferation	0.332983393195652	0.332983393195652	+1	TFDP1,E2F1
GO:1902571	regulation of serine-type peptidase activity	0.332983393195652	0.332983393195652	+1	SPINK5,SPINK6
GO:1902031	regulation of NADP metabolic process	0.332983393195652	0.332983393195652	+1	PGAM1,MLST8
GO:0140212	regulation of long-chain fatty acid import into cell	0.332983393195652	0.332983393195652	+1	AKT2,EPRS1
GO:0000052	citrulline metabolic process	0.332983393195652	0.332983393195652	+1	CPS1,CAD
GO:0008211	glucocorticoid metabolic process	0.332983393195652	0.332983393195652	+1	BMP5,YWHAH,H6PD
GO:1902254	negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator	0.332983393195652	0.332983393195652	+1	KDM1A,TAF9,TAF9B
GO:0008298	intracellular mRNA localization	0.332983393195652	0.332983393195652	+1	STAU1,MEX3D
GO:0110025	DNA strand resection involved in replication fork processing	0.332983393195652	0.332983393195652	+1	BRCA1,NBN
GO:0051342	regulation of cyclic-nucleotide phosphodiesterase activity	0.332983393195652	0.332983393195652	+1	RACK1,CALM1
GO:0036124	histone H3-K9 trimethylation	0.332983393195652	0.332983393195652	+1	SMARCB1,ATRX
GO:0070344	regulation of fat cell proliferation	0.332983393195652	0.332983393195652	+1	TFDP1,E2F1
GO:0031943	regulation of glucocorticoid metabolic process	0.332983393195652	0.332983393195652	+1	BMP5,H6PD
GO:0008652	amino acid biosynthetic process	0.332983393195652	0.332983393195652	+1	CPS1,PSAT1,CAD,AASDHPPT,SEPHS1,SHMT2,MTAP
GO:1903689	regulation of wound healing, spreading of epidermal cells	0.332983393195652	0.332983393195652	+1	FERMT1,PTEN
GO:2000648	positive regulation of stem cell proliferation	0.332983393195652	0.332983393195652	+1	HNRNPU,KDM1A,EPCAM
GO:0099641	anterograde axonal protein transport	0.332983393195652	0.332983393195652	+1	KIF5B,MAP1A
GO:1901663	quinone biosynthetic process	0.332983393195652	0.332983393195652	+1	COQ5,COQ8A,COQ2
GO:0044539	long-chain fatty acid import into cell	0.332983393195652	0.332983393195652	+1	AKT2,EPRS1,SLC27A5
GO:0045945	positive regulation of transcription by RNA polymerase III	0.332983393195652	0.332983393195652	+1	DEK,DDX21,MYBBP1A
GO:0045980	negative regulation of nucleotide metabolic process	0.332983393195652	0.332983393195652	+1	PARP1,NUPR1,GIT1
GO:0099640	axo-dendritic protein transport	0.332983393195652	0.332983393195652	+1	KIF5B,MAP1A
GO:0009260	ribonucleotide biosynthetic process	0.3334183280238328	0.3334183280238328	+1	IMPDH2,PFAS,ACLY,PPT1,PAICS,PARP1,CAD,GART,ACACA,APRT,ATIC,SDHB,ATP5MC2,UCK2,ENO1,ATP5MC1,DHODH
GO:0031123	RNA 3'-end processing	0.3335289456569913	0.3335289456569913	+1	FBL,DKC1,AHCYL1,RPS21,NUDT21,EXOSC2,EXOSC6,CPSF2,ELAC2,EXOSC8,SYMPK
GO:1902652	secondary alcohol metabolic process	0.3339206837501251	0.3339206837501251	+1	ACLY,G6PD,SQLE,SC5D,LBR,MVD,HSD17B7,SOAT1,FDFT1,IDH2
GO:0051495	positive regulation of cytoskeleton organization	0.33866286446606947	0.33866286446606947	+1	RPS3,MYLK3,STIL,SPAG5,CDC42EP1,PSRC1,CCDC88A,GPSM2,NUP62,PFN2,MAPT,WASF1,FHOD1,GIT1,BRK1
GO:2000116	regulation of cysteine-type endopeptidase activity	0.34480735331082035	0.34480735331082035	+1	RPS3,ANP32B,MYC,HMGB1,HSPD1,RACK1,SNCA,ARL6IP1,FAM162A,MAPT,EPHA7,CSNK2A1,CDKN2A,RPS6KA1,ROBO1,F2R,SFN
GO:0051646	mitochondrion localization	0.3483935472408026	0.3483935472408026	+1	MAPT,MYO19,CLUH,ZBED3,LRPPRC
GO:1990000	amyloid fibril formation	0.3483935472408026	0.3483935472408026	+1	HNRNPA1,SNCA,MAPT,FUS,CDKN2A
GO:0031047	RNA-mediated gene silencing	0.3483935472408026	0.3483935472408026	+1	CENPV,RAN,NEAT1,DHX9,SRSF3,HNRNPA2B1,SRRT,ELAVL1,EIF6,XPO5,NCOR2
GO:0006359	regulation of transcription by RNA polymerase III	0.35440390514827047	0.35440390514827047	+1	DEK,POLR3G,DDX21,MYBBP1A
GO:0045116	protein neddylation	0.35440390514827047	0.35440390514827047	+1	RPL5,DCUN1D5,CDKN2A,RPL11
GO:0019083	viral transcription	0.3545191677204154	0.3545191677204154	+1	NUCKS1,TRIM14,RSF1,DHX9,SMARCB1,UBP1
GO:0071168	protein localization to chromatin	0.3545191677204154	0.3545191677204154	+1	RAD21,PLK1,MSH2,CENPA,CDCA5,RUVBL2
GO:0021987	cerebral cortex development	0.3545191677204154	0.3545191677204154	+1	COL3A1,KIF14,TACC3,PALS1,WDR62,ROBO1
GO:0048863	stem cell differentiation	0.35824119877972843	0.35824119877972843	+1	TCOF1,NOLC1,HNRNPU,MEOX1,CHD4,EPCAM,HDAC2,SEMA4C,NUDT21,SRF,RBBP4,MTA1,CHD3,FGFR2
GO:0045580	regulation of T cell differentiation	0.35824119877972843	0.35824119877972843	+1	SPINK5,HMGB1,SOX12,KAT2A,SMARCC1,SMARCC2,FANCA,SMARCB1,PRDM1,CDKN2A,ACTL6A,PTPN2
GO:0043524	negative regulation of neuron apoptotic process	0.36136647663742766	0.36136647663742766	+1	PPT1,KIF14,MSH2,KDM2B,SET,ZPR1,IL27RA,F2R
GO:0043462	regulation of ATP-dependent activity	0.37321667614800896	0.37321667614800896	+1	HNRNPU,MSH2,TPM2,UHRF1,DHX9,PFN2,DNAJC9
GO:0001522	pseudouridine synthesis	0.3734715158212788	0.3734715158212788	+1	DKC1,NHP2,RPUSD4
GO:2001056	positive regulation of cysteine-type endopeptidase activity	0.3734715158212788	0.3734715158212788	+1	RPS3,ANP32B,MYC,HMGB1,HSPD1,RACK1,SNCA,FAM162A,MAPT,CDKN2A,ROBO1,F2R
GO:0044154	histone H3-K14 acetylation	0.3734715158212788	0.3734715158212788	+1	KAT2A,KMT2A,WDR5
GO:0090308	regulation of DNA methylation-dependent heterochromatin formation	0.3734715158212788	0.3734715158212788	+1	TRIM28,KDM1A,DNMT1
GO:0032785	negative regulation of DNA-templated transcription, elongation	0.3734715158212788	0.3734715158212788	+1	NELFCD,HNRNPU,WDR82
GO:1900368	regulation of post-transcriptional gene silencing by RNA	0.37494633433020874	0.37494633433020874	+1	NEAT1,DHX9,ELAVL1,XPO5,NCOR2
GO:0060147	regulation of post-transcriptional gene silencing	0.37494633433020874	0.37494633433020874	+1	NEAT1,DHX9,ELAVL1,XPO5,NCOR2
GO:0019318	hexose metabolic process	0.3792948226171263	0.3792948226171263	+1	ATF4,SORD,G6PD,NNMT,AKT2,PGP,ENO1,TPI1,SLC25A10,H6PD,BCKDK,PCK2,PTPN2
GO:0006446	regulation of translational initiation	0.3800033233213501	0.3800033233213501	+1	ATF4,NPM1,SH3BGRL,EIF4EBP1,RPL13A,TPR,EIF4B,EIF3E
GO:0035521	monoubiquitinated histone deubiquitination	0.38664037258872114	0.38664037258872114	+1	TAF9,KAT2A,SF3B5,TRRAP
GO:0035522	monoubiquitinated histone H2A deubiquitination	0.38664037258872114	0.38664037258872114	+1	TAF9,KAT2A,SF3B5,TRRAP
GO:0048146	positive regulation of fibroblast proliferation	0.38664037258872114	0.38664037258872114	+1	MYC,DHX9,E2F1,CDK4
GO:0061384	heart trabecula morphogenesis	0.38981564311758976	0.38981564311758976	+1	BMP5,NACA,ADGRG6
GO:0060074	synapse maturation	0.38981564311758976	0.38981564311758976	+1	CDC20,ADGRL1,PTEN
GO:0051571	positive regulation of histone H3-K4 methylation	0.38981564311758976	0.38981564311758976	+1	BRCA1,KMT2A,WDR5
GO:0046601	positive regulation of centriole replication	0.38981564311758976	0.38981564311758976	+1	STIL,NUP62
GO:0140719	constitutive heterochromatin formation	0.38981564311758976	0.38981564311758976	+1	CENPV,RIF1
GO:0061820	telomeric D-loop disassembly	0.38981564311758976	0.38981564311758976	+1	BLM,RECQL4
GO:0035304	regulation of protein dephosphorylation	0.38981564311758976	0.38981564311758976	+1	PTBP1,HSP90AB1,HSP90B1,CDCA2,CALM1,ENSA,BOD1,SYMPK
GO:0061157	mRNA destabilization	0.38981564311758976	0.38981564311758976	+1	HNRNPU,KHSRP,HNRNPD,DHX9,EXOSC2,SYNCRIP,MEX3D,EXOSC8,YBX1
GO:0046685	response to arsenic-containing substance	0.38981564311758976	0.38981564311758976	+1	ATF4,HNRNPA1,SRRT
GO:0060966	regulation of gene silencing by RNA	0.38981564311758976	0.38981564311758976	+1	NEAT1,DHX9,ELAVL1,XPO5,NCOR2
GO:0051647	nucleus localization	0.38981564311758976	0.38981564311758976	+1	LMNB1,LMNB2,TMEM201
GO:0034101	erythrocyte homeostasis	0.38981564311758976	0.38981564311758976	+1	HMGB2,G6PD,PRMT1,RPS14,RPS24,CEBPG,ACIN1,PTPN2
GO:0048741	skeletal muscle fiber development	0.38981564311758976	0.38981564311758976	+1	NACA,MYORG,HDAC9
GO:0051610	serotonin uptake	0.38981564311758976	0.38981564311758976	+1	SNCA,SLC29A4
GO:0048742	regulation of skeletal muscle fiber development	0.38981564311758976	0.38981564311758976	+1	NACA,HDAC9
GO:0048048	embryonic eye morphogenesis	0.38981564311758976	0.38981564311758976	+1	KDM2B,RARG,TWIST1
GO:0035307	positive regulation of protein dephosphorylation	0.38981564311758976	0.38981564311758976	+1	PTBP1,HSP90AB1,CDCA2,CALM1,SYMPK
